Unnamed: 0,name,username_twitter,hashtag,age,job,country,description,gdp,gdp_pro_capita,labour_percentage,gender_gap,percentuale_ministre,percentuale_parlamentari,hdi,year,image,category
67,Jana el-Hassan,@Janaelhassan,,30,Novelist,Lebanon,"An emerging young voice from the Middle East, Jana shook off the constraints of her rural background to publish her first novel Forbidden Desires in 2009 and won the local Simon Hayek Prize. Both of her later novels were shortlisted for the International Prize for Arab Fiction in 2013 and 2015. Her work is being translated into English and Italian.","49,939",7644.545,"31,58928345","0,598",,,"0,744",2015,,
68,Eveles Chimala,,#100Women #midwife,29,Midwife,Malawi,"After working in one of the busiest hospitals in Malawi, Eveles decided to go back to studying to help her country tackle its high maternal mortality rate. She studies the partograph - a tool designed to help midwives in under-resourced hospitals in Africa monitor women as they give birth. Eveles features in our coverage focusing on nursing across the world.","6,402",353.507,"88,37124721","0,701",,,"0,468",2015,,
69,Paulina Arreola,@pauarreola,#paulinaarreola,24,Entrepreneur,Mexico,"Paulina is CEO and co-founder of Lavadero in Mexico City, which collects dirty washing. The company either washes or dry cleans the items before delivering them back to the customer. Paulina features in our '30 under 30' strand.","1171,87",9616.666,"55,53867593","0,699","17,6","42,4","0,766",2015,,
70,Alina Gracheva,,,45,Camerawoman,Moldova (the Republic of),"Alina found herself in a very male-dominated environment when she started her career as a camerawoman 15 years ago. She has covered Chechnya, Afghanistan, Iraq and the Beslan school siege, and now works for Al-Jazeera.","7,726",2715.782,"87,32543784","0,742",,,"0,736",2015,,
71,Rabia Salihu Said,@rabia_phy,,52,Physicist,Nigeria,"Rabia is a physicist who has been involved for the last 30 years with national and local projects which encourage young people to enter the field of science. A mother of six, she received the Elsevier award in 2015 for her work on climate and deforestation.","492,437",2718.586,"82,92310066","0,638",,,"0,526",2015,,
72,Ayesha Ishtiaq,,#AyeshaIshtiaq,17,Schoolgirl,Pakistan,Ayesha is a Year 12 student from Islamabad who is passionate about tackling the sexism she sees in her society. She conducts feminist and human rights talks with friends and plans to study journalism or women's studies in the US before returning to Pakistan to help others. Ayesha appears in our 'Good girl' film-makers strand.,"270,17",1422.923,"29,51874313","0,559",,,"0,536",2015,,
73,Muniba Mazari,@muniba_mazari,#MunibaMazari,28,Artist and anchorwoman,Pakistan,"Muniba, who lost the use of her legs in a car accident seven and a half years ago, is Pakistan's first wheelchair-bound model and the first wheelchair-bound anchor working for the country’s state channel. She began painting while still in hospital and hopes to spread the message of hope through her work.","270,17",1422.923,"29,51874313","0,559",,,"0,536",2015,,
74,Azza Jadalla,,,27,Nurse,"Palestine, State of","Azza is one of the youngest heads of a hospital ward in Gaza City's Shifa practice. The daily challenges of life in Gaza, including electricity cuts and chronic shortages, make her job in the haematology ward especially tough. Azza features in our coverage focusing on nursing across the world.","13,972",1373,"25,46979006",,,,"0,701",2015,,
75,Rasha Shehada,,#BBC,29,Manufacturing director,"Palestine, State of","The managing director of Diamond Line FZE, a family-owned hotel equipment supplies business in the UAE. The company started specialising in hotel supplies and now also has a manufacturing plant which produces chafing fuels which can be burned in small canisters and used for heating food. Rasha features in our '30 under 30' strand.","13,972",1373,"25,46979006",,,,"0,701",2015,,
76,Zuzanna Stanska,@zstanska,#BBC #dailyart,27,Entrepreneur,Poland,"Zuzanna runs a creative consultancy for cultural institutions and museums that allows visitors to interact with the art on display via a mobile app. She is also the creator of another app, DailyArt, which gives the user a chance to learn about one art masterpiece a day. Zuzanna features in our '30 under 30' strand.","477,582",12566.085,"74,84266643","0,715","27,8","27,4","0,863",2015,,
77,Irina Polyakova,,,54,Paralympian,Russian Federation (the),"Three-times world champion in skiing, including gold medal winner at the Winter Paralympics in 2006 for the cross-country event. Irina is also a medal winner for swimming, biathlon and arm wrestling, and works as a coach.","1356,703",9257.93,"77,89163861","0,694",,,"0,809",2015,,
